Tumor_wgs_aliquot_id	tumor_rna_seq_star_alignment_bam_file_name
301d6ce3-4099-4c1d-8e50-c04b7ce91450	f4288632-a94f-4777-a5d6-1a76b12abcc5
4838b5a9-968c-4178-bffb-3fafe1f6dc09	5c2ab9dd-c1ed-4d57-b68d-56a7b52b80e0
c66c92d5-df65-46e6-861d-d8a98808e6a3	ba7d499b-049b-4ba2-be02-e513f81d453e
973d0577-8ca4-44a1-817f-1d3c1bada151	65e2deab-5ba3-4d8c-83a9-69b29e0e8e40
91f458e6-64b7-454d-a542-b0aa23638fd8	be7e0d7d-142e-4bf4-97b3-c9cc7c763687
8c619cbc-9e91-4716-9711-5236e55d8f46	ce2b27ab-3ea1-4e32-b3e5-f64d4666baf1
abd2d959-d5ed-4eb3-9759-67eb1aa23325	122ec841-45fc-4a68-b69c-b9b91ddef8ae
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	b6c3105f-77c6-4894-8743-9f76ea72d9ff
804ffa2e-158b-447d-945c-707684134c87	dc9ca6fa-4560-4d5b-887f-665c4fff81aa
2b142863-b963-4cc9-8f8f-c72503c93390	342ff523-e6ec-439a-bada-f8ae45907aa5
45a7949d-e63f-4956-866c-df51257032de	5ca1a1e9-e308-4d90-ad82-a9adce2c1dde
acc629cb-ad03-4cec-9b21-922e4932ef3e	10ba899c-0ca5-49bd-b14f-366e2126f953
d4615ca0-b5c7-4a5c-8593-bd50034a78ae	11ad1d34-dee3-42f9-9b7d-13ba47c1d205
448fe471-3f4e-4dc8-a4e0-6f147dc93abe	3efe62ae-179f-4e33-953f-45fd104a1caf
cda1a403-16b6-487c-a82a-c377d1d0f89d	aa3607ba-1e1e-4099-8197-da680e69925f
df8a913c-5160-4fc5-950d-7c890e24e820	2772db65-145c-491d-b49f-fe37bbc2d90a
418a3dec-96ff-4719-becb-e1a8260cce2f	07dd2392-8d59-45f5-bae1-290184c85421
f389176f-d8f3-45c2-aae4-7378a3d6fc7f	8f915894-a329-48fc-a64b-695e462a3793
b73523d7-f5a5-4140-8537-4df4d1ecf465	0e53a110-3039-4099-861a-0ed98a92835b
ffdd4feb-aca3-4104-b1e8-954d705a6450	6f777846-9da3-4986-8e69-91874dd719ab
94108975-b7a0-40ba-ad39-e44cc62e8cc0	b5700204-e49b-4c3d-8318-a4b694480fee
e6c78a98-f45b-482b-a551-4f11b8c1ff8b	d2673f0a-c3cc-48c8-b083-faae43b7bee1
7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	d35e1f73-b215-4a57-aa2e-463124cd5d61
a876398c-5b1d-444f-a360-5fe2db697480	ef59992f-ef6c-4873-87c7-335c13bb78ef
f848b66f-bd9e-4fba-afd4-eb58848d1ef4	f888fc09-259f-42a1-b4fe-04403fcef6f8
e5593865-5f8e-4a4c-b36f-73fbe64d66da	13043f5e-f25c-4274-a9b0-4a763c42e294
1eb62abc-7928-405b-84cc-f091ca5347b2	9da91059-89ed-406f-b11b-e67a113e87bc
dabb5a94-9706-4429-8db0-c328e2004340	73b41e1e-56ed-47e4-8bf3-077be227480d
ec4d4cbc-d5d1-418d-a292-cad9576624fd	def974bb-4832-4cb5-b63e-b97efa2fb346
6764e0a2-7a78-45c1-9189-6001c6518ce4	74925915-0801-448a-abb3-7ccc8e8ab278
8f558713-f32b-403b-aedf-c79efeb41c67	2b7cee9b-2ab2-49f6-8c80-7e5ba9351a59
fc6d77a9-121b-48ab-a899-713c3d1319a2	b7021d28-750f-49cf-a536-85b6775a52bd
987d41ee-6bab-490c-b0f2-bf28c0089de9	4ade6634-a4b4-4f1e-9c87-ffe21b944433
d8fbb398-d1da-4444-984a-22c8523625da	d8c8ac7a-c116-4d3b-955a-476d9c73673d
f39cc911-36a7-4c06-9e91-4ad86281db3d	2cec92cb-1c5e-45d5-92ed-5b9cba4dbeee
43f7a2e0-fec9-4e43-872d-18c6c946fa17	e1b05966-36f1-420c-903b-102558b97df9
7b0b60c7-5fa0-440e-937f-8d82119330d6	3f761da6-f76e-4c38-ad9a-2bd36ea80f43
4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9	7dca6ebc-753a-4560-ab06-8c0a7ddda302
eef9dce1-6ba6-432b-bbe2-53c7dbe64fe7	50462681-d1c3-4ff0-b2fe-fe2f875edf43
e8392f20-c9e3-4649-b64f-5b266c393a76	1231589e-c1f7-4281-b23d-c19db1d60122
fb9135d9-2acf-41dd-8552-359e6b8c9470	2b0acc47-842d-41f8-a631-3af0005c2ff0
2c6f1862-bb82-4e7e-9cb3-338bdf022ff4	6379ec28-62e1-494c-9eee-a8dc7dc27c46
6dbc5c31-043b-40e9-bf1a-e7b4ec351b4d	477027ec-7d7e-43e5-9a7a-dbf80830a787
47312f61-5ef4-4f25-9320-8fbb4758790e	7148eabc-9882-485b-a84b-2168da4ed63a
f9f04e42-63a2-4ee1-ade4-9e5bb5c20cdd	2d2358aa-e62e-4d38-bcb3-94faac6ad47b
71fda5a9-7049-406f-9348-2c24f7ddf5f4	3e91ef09-3157-4a0e-aeb9-f2c9e14ca0f5
e55f338f-97e2-4394-ae23-c92606069485	9cb13393-46c8-4f4e-8a82-f791ca3eeb15
cc4f9175-a8c8-424a-99d7-8bd11cae0e52	66c59bdb-823a-4258-9615-b9b98974bce5
13d05f7a-e16a-40ef-9a15-21257da2cf89	b7ac3072-96a1-4652-b694-ca5de7710941
d5372745-95cf-4572-a6e7-e7f5b796911a	713244f7-527f-489b-a6b3-d051cc240069
aacaba97-ecde-440b-aae0-0e9c608c4b24	72237615-1ebe-455d-a6a7-f91a4da50733
25c76a8f-77c0-4650-bddf-45ed0c10a2e6	aaff09c1-7c1f-4421-af06-694d615ac72f
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	7f24d120-6f66-4588-9894-63f882932991
df291849-4c35-44e1-b013-8f6b7ee36113	b94fb095-079f-4fe8-acca-182342aab1d2
c61ded54-f80e-4da8-b1d8-e22551c96118	f26e73ea-9282-4e81-a70d-9fad49c91109
c67409b2-ac25-42a0-8543-4636ef132fe4	079d974a-6a6d-4933-87a1-13e11e37320d
6d7f44df-e9f0-4542-a6d8-d14ee7804002	a9fde415-1397-4a49-9c8b-e7fed32bf9c1
a6c14ebc-81a2-44f7-af87-2b7ec85e5696	d14cf198-62fd-4787-9641-0b77d0c1ea99
07b5141f-ac79-439b-883b-b0183bbe7ff5	c50a23a9-32d6-4aef-99e9-9b6d08fbbe41
98bb3025-0637-4106-8621-12df7b5d662f	d9bcb72f-4e25-418a-90a8-4efbdf63ef74
2290b078-6a5b-4c83-9dfb-b525bbf14e4e	4f6891dc-3b2b-453f-9173-cfcfb79cee6d
36d1a85e-a09b-4537-86e0-eaf1eb03aed8	de399eb3-5479-46e2-8e9d-cc870c4d9abd
15f90ef0-831b-40a3-98bd-ec226a9e8b26	366e1ef1-4909-460c-a1cf-4999c445cf11
74039acd-5aca-4c65-818c-3b577d295be0	ca9e54fe-9b22-4d88-83f4-0af418874545
b27d75ba-5989-4200-bfe9-f1b7d7cf8008	981ef671-f809-4a0f-9835-fd982eec007e
97064332-1d4f-4571-93ff-354ffe6d7df9	992f1d95-109c-4783-9392-c7587a539e8e
8e03e773-5557-4e78-889b-4710c515378f	fc8d69b5-1b5a-47e9-b4e7-c0ced58673c6
41f140b8-72b9-4ae3-8b25-6144d9f94d0f	3945fe90-44f2-438a-a8e6-fb89b2003499
30dbe353-86d5-40ed-84c2-dbddf7beb17b	8f0ea36d-10e7-43bd-9083-ab7aade0c28c
2b000af3-2c9d-4eaa-af3f-8101b7425c37	e33149ad-7364-4f58-9d6f-22707511f4d3
546b982f-60d9-43df-9761-09369afbee2d	d8543de2-670b-4e2b-9881-dc5ce07893f5
6c8e9197-fd16-4fed-bfda-e349cab26314	432c0e30-7fa0-4458-9782-9c589144193b
eddfbfb9-3ae8-449b-b870-46062a2571c1	b25bc77d-cf07-4421-ab44-95e03b7fb71d
